     ____
    / _  |   Frida 17.17.0 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   Prefer a GUI? Luma is the official Frida app, with a live REPL,
   . . . .   persistent sessions & collaboration. https://luma.frida.re/
   . . . .
   . . . .   Connected to iPhone (id=00008150-00093DA00ABB401C)
Spawning `com.oceanwing.SoundCore.G8AW4BQ7RV`...

==================== PROCESS ====================
frida       : 17.17.0
pid / arch  : 6592 / arm64
page size   : 16384
objc avail  : true

==================== MODULES OF INTEREST ====================
  SoundCore  @ 0x1005a8000  (67665920 bytes)
  ACCUIKit  @ 0x105f80000  (65536 bytes)
  AKCache  @ 0x105fac000  (147456 bytes)
  AKLog  @ 0x106014000  (180224 bytes)
  Alamofire  @ 0x106578000  (344064 bytes)
  AppAuth  @ 0x1060a8000  (114688 bytes)
  AttributedString  @ 0x106680000  (229376 bytes)
  AudioStreamKit  @ 0x106724000  (5931008 bytes)
  Charts  @ 0x10712c000  (802816 bytes)
  CocoaAsyncSocket  @ 0x1060f4000  (163840 bytes)
  CocoaLumberjack  @ 0x10741c000  (131072 bytes)
  ColorWheel  @ 0x106150000  (49152 bytes)
  CppAudioUtilities  @ 0x106220000  (49152 bytes)
  DGActivityIndicatorView  @ 0x10746c000  (81920 bytes)
  Doraemon  @ 0x10749c000  (409600 bytes)
  FBLPromises  @ 0x1075e0000  (65536 bytes)
  FMDB  @ 0x107610000  (65536 bytes)
  FirebaseCore  @ 0x10763c000  (65536 bytes)
  FirebaseCoreExtension  @ 0x106240000  (32768 bytes)
  FirebaseCoreInternal  @ 0x107668000  (114688 bytes)
  FirebaseCrashlytics  @ 0x1076c4000  (278528 bytes)
  FirebaseInstallations  @ 0x107778000  (98304 bytes)
  FirebaseMessaging  @ 0x1077bc000  (212992 bytes)
  FirebaseSessions  @ 0x10783c000  (114688 bytes)
  FuncLog  @ 0x10789c000  (65536 bytes)
  FuncRouter  @ 0x1078cc000  (114688 bytes)
  GoogleDataTransport  @ 0x10791c000  (147456 bytes)
  GoogleUtilities  @ 0x107978000  (114688 bytes)
  HandyJSON  @ 0x1079c4000  (147456 bytes)
  IQKeyboardManagerSwift  @ 0x107a34000  (212992 bytes)
  JPBlurView  @ 0x107adc000  (49152 bytes)
  JTAppleCalendar  @ 0x107b00000  (278528 bytes)
  JXPagingView  @ 0x107bc8000  (114688 bytes)
  JXSegmentedView  @ 0x107c28000  (229376 bytes)
  KVOController  @ 0x107d10000  (32768 bytes)
  KeychainSwift  @ 0x107d28000  (49152 bytes)
  Kingfisher  @ 0x107d4c000  (835584 bytes)
  LMJDropdownMenu  @ 0x107fb0000  (49152 bytes)
  Loady  @ 0x107fd0000  (114688 bytes)
  Lottie  @ 0x108028000  (983040 bytes)
  MJRefresh  @ 0x108354000  (98304 bytes)
  MMKV  @ 0x108394000  (49152 bytes)
  MMKVCore  @ 0x1083b4000  (131072 bytes)
  MMWormhole  @ 0x1083fc000  (49152 bytes)
  Mantle  @ 0x10841c000  (81920 bytes)
  Masonry  @ 0x10844c000  (65536 bytes)
  Moya  @ 0x108478000  (114688 bytes)
  ObjectMapper  @ 0x1084d4000  (147456 bytes)
  OpenSSL  @ 0x108540000  (3047424 bytes)
  Promises  @ 0x108980000  (81920 bytes)
  Protobuf  @ 0x1089b8000  (294912 bytes)
  Result  @ 0x108a84000  (49152 bytes)
  SCDebugToolKit  @ 0x108aac000  (114688 bytes)
  SCHawkeyeSDK  @ 0x108afc000  (212992 bytes)
  SDWebImage  @ 0x108b9c000  (245760 bytes)
  SDWebImageWebPCoder  @ 0x108c3c000  (32768 bytes)
  SJFullscreenPopGesture  @ 0x108c58000  (65536 bytes)
  SSZipArchive  @ 0x108c8c000  (98304 bytes)
