dex                                           size  classes  resolv%   code%  mono% zeropg%  verdict
dex_00000009c000_0000079b83e8.dex          8546904    11282     0.0%   99.1%    47%    0.7%  UNUSABLE
dex_00000009c000_000034186420.dex          8965676     8213     0.0%  100.0%    60%    1.1%  UNUSABLE
dex_0000aeaa2000_7433f21a8000.dex          2843040     1954   100.0%   25.8%   100%    3.0%  STRUCT-ONLY
dex_0000aeaa2000_7433f2460000.dex          3880124     2864   100.0%    3.7%   100%    1.6%  STRUCT-ONLY
dex_0000aeaa2000_7433f2d1c000.dex          3328984     1152   100.0%   19.0%   100%    1.0%  STRUCT-ONLY
dex_0000aeaa2000_7433f304c000.dex          8875044     5708   100.0%    5.3%   100%    2.4%  STRUCT-ONLY
dex_0000aeaa2000_7433f38c4000.dex          9447552     9610   100.0%   74.9%   100%    2.8%  STRUCT-ONLY
dex_0000aeaa2000_7433f41c8000.dex          7911468     6820   100.0%   42.9%   100%    2.1%  STRUCT-ONLY
dex_0000aeaa2000_7433f4954000.dex          5397328     2749   100.0%    7.4%   100%    1.8%  STRUCT-ONLY
dex_0000aeaa2000_7433fbd94000.dex         11404588    11914   100.0%    9.8%   100%    2.2%  STRUCT-ONLY
dex_0000aeaa2000_7433fc878000.dex          9843408     8448   100.0%   94.7%   100%    2.7%  USABLE
dex_0000aeaa2000_7433fd1dc000.dex          2764220      882   100.0%    4.5%   100%    0.6%  STRUCT-ONLY
dex_0000aeaa2000_7433fd62c000.dex          2692916      665   100.0%    3.8%   100%    0.6%  STRUCT-ONLY
dex_0000aeaa2000_7433fd8c0000.dex          3537968     1450   100.0%    6.4%   100%    1.0%  STRUCT-ONLY
dex_0000aeaa2000_7433fdc20000.dex          3078076     1175   100.0%    3.1%   100%    0.8%  STRUCT-ONLY
dex_0000aeaa2000_7433fdf10000.dex          4106368     1629   100.0%    3.3%   100%    1.2%  STRUCT-ONLY
dex_0000aeaa2000_7433fe2fc000.dex         10028160     7764   100.0%    0.6%   100%    2.4%  STRUCT-ONLY
dex_0000aeaa2000_7433fee68000.dex          3883804     1837   100.0%    2.1%   100%    1.4%  STRUCT-ONLY
dex_0000aeaa2000_743400a18000.dex         10684748     8110   100.0%   85.3%   100%    2.5%  STRUCT-ONLY
dex_0000aeaa2000_7437d040dbf4.dex           294460      379   100.0%  100.0%   100%    0.0%  USABLE
